Dateline,Text
"
Weymouth August th 11 1763
","My Friend If I was sure your absence  was occasioned, by what it generally is, either to wait upon Company, or promote some good work, I freely confess my Mind would be much more at ease than at present it is. Yet this uneasiness does not arise from any apprehension of Slight or neglect, but a fear least you are indisposed, for that you said should be your only hindrance. Humanity obliges us to be affected with the distresses and  of our fellow creatures. Friendship is a band yet stronger, which causes us to  [feel] with greater tenderness the afflictions of our Friends. And there is a  more binding than Humanity, and stronger than Friendship, which makes us anxious for the happiness and welfare of those to whom it binds us. It makes their  [Misfortunes], Sorrows and afflictions, our own. Unite these, and there is a threefold cord -- by this cord I am not ashamed to own myself bound, nor do I  [believe] that you are wholly free from it.  [Judge you then] for your Diana has she not this day  [had sufficient] cause for pain and anxiety of mind? She bids me  you that Seneca, for the sake of his Paulina was careful and tender of his health. The health and happiness of Seneca she says was not dearer to his Paulina, than that of Lysander to his Diana. The  often wants  repairing and if we neglect it the Deity will not long inhabit it, yet after all our care and solisitude to preserve it, it is a tottering Building, and often reminds us that it will finally fall. Adieu may this find you in better health than I fear it will, and happy as your  wishes you.  "
"Weymouth   Sepbr. th 12 1763
","You was  to say that the receipt of a letter from your Diana always gave you pleasure. Whether this was designed for a complement, (a commodity I acknowledg that you very seldom deal in) or as a real truth, you best know. Yet if I was to judge of a certain persons Heart, by what upon the like occasion passess through a cabinet of my own, I should be apt to suspect it as a truth. And why may I not? when I have often been tempted to believe; that they were both cast in the same mould, only with this difference, that yours was made, with a harder mettle, and therefore is less liable to an impression. Whether they have both an eaquil quantity of Steel, I have not yet been able to discover, but do not imagine they are either of them deficient. Supposing only this difference, I do not see, why the same cause may not produce the same Effect in both, tho perhaps not eaquil in degree. But after all, notwithstanding we are told that the giver is more blessed than the receiver I must confess that I am not of so generous a disposition, in this case, as to give without wishing for a return. Have you heard the News? that two Apparitions were seen one evening this week hovering about this house, which very much resembled you and a Cousin of yours. How it should ever enter into the head of an Apparition to assume a form like yours, I cannot devise. When I was told of it I  could scarcly believe it, yet I could not declare the contrary, for I did not see it, and therefore had not that demonstration which generally convinces me, that you are not a Ghost. The original design of this letter was to tell you, that I would next week be your fellow  provided I shall not be any encumberance to you, for I have too much pride to be a clog to any body. You are to determine that point. For your -- P S Pappa says he should be very much obliged to Your Cousin if he would preach for him tomorrow and if not  next Sunday. Please to present my complements to him and tell him by complying with this request he will oblige many others besides  my pappa, and especially  his Humble Servant,  "
"Weymouth  April 7. 1764
","Sir How do you now? For my part, I feel much easier than I did an hour ago, My  haveing given me a more particuliar, and favorable account of the Small pox, or rather the operation of the preparation, than I have had before. He speaks greatly in favor of Dr. Perkins who has not, as he has heard lost one patient. He has had since he has been in Town frequent opportunities of visiting in the families where the Doctor practises, and he is full in the persuasion that he understands the Distemper, full as well if not better than any physician in Town, and knows better what to do in case of any dificulty. He allows his patients greater liberty with regard to their Diet, than several other physicians. Some of them (Dr. Lord for one) forbid their patients a mouthful of Bread. My unkle says they are all agreed that tis best to abstain from Butter, and Salt -- And most of them from meat. I hope you will have reason to be well satisfied with the Dr., and advise you to follow his prescriptions as nigh as you find your Health will permit. I send by  my  some balm. Let me know certainly what Day you design to go to Town, Pappa Says Tom  shall go that Day and bring your Horse back. Keep your Spirits up, and I make no doubt you will do well . Shall I come and see you before you go. No I wont, for I want not again, to experience what I this morning felt, when you left  Your  "
"Weymouth  April 8. 1764
","Sir If our wishes could have conveyed you to us, you would not have been absent . Mr. Cranch and my Sister  have been here, where they hoped to have found you. We talk'd of you, they desire to be rememberd to you, and wish you well thro the Distemper.Mr. Cranch told me that the Deacon with his children design for  Boston next Saturday and that they propose going by water -- that the Deacon would have you go with them, but I would by no means advise you to go by water, for as you are under prepairation you will be much more exposed to take cold, the weather too is so uncertain that tho the morning may look promissing, yet you know it is frequently very raw and cold in the afternoon. Besides if you should wait till then and Saturday should prove an unplasent Day, you will make it so much the longer before you get into Town. Suffer me therefore to injoin it upon you, not to consent to go by water, and that you have no need to do as Tom will wait upon you any day that you desire. Let me know wheather you took your vomit, whether you have got your pills and whether you have begun Lent-how it suits you? I am very fearful that you will not when left to your own managment follow your directions --  but let her who tenderly cares for you both in Sickness and Health, intreet you to be careful of that Health upon which depends  the happiness of Your "
"Weymouth  April 12, 1764
","My Dearest Friend Here am I all alone, in my Chamber, a mere Nun I assure you, after professing myself thus will it not be out of Character to confess that my thoughts are often  about Lysander, ""out of the abundance of the Heart, the mouth speaketh,"" and why Not the Mind thinketh. Received the  you so generously bestowed upon me. To say I Fasted after such an entertainment, would be wronging my Conscience and wounding Truth. How kind is it in you, thus by frequent tokens of remembrance to alleviate the pangs of absence, by this I am convinced that I am often in your Thoughts, which is a satisfaction to me, notwithstanding you tell me that you sometimes view the dark side of your Diana, and there no doubt you discover many Spots which I rather wish were erased, than conceal'd from you. Do not judge by this, that your opinion is an indifferent thing to me, (were it so, I should look forward with a heavey Heart,) but it is far otherways, for I had rather stand fair there, and be thought well of by Lysander than by the greater part of the World besides. I would fain hope that those faults which you discover, proceed more, from a wrong Head, than a bad Heart. E'er long May I be connected with a Friend from whose Example I may form a more faultless conduct, and whose benevolent mind will lead him to pardon, what he cannot amend. The Nest of Letters which you so undervalue, were to me a much more welcome   present than a Nest of Baskets, tho every stran of those had been gold and silver. I do not estimate everything according to the price the world set upon it, but according to the value it is of to me, thus that which was cheapest to you I look upon as highly valuable. You ask whether you shall send a History of the whole voyage, characters, visits, conversations &c. &c. It is the very thing that I  this Evening to have requested of you, but you have prevented my asking, by kindly offering it. You will greatly oblige me by it, and it will be no small amusement to me in my State of Seperation. Among the many who will visit, I expect Arpasia will be one, I want her character drawn by your pen (Aurelia says she appears most agreable in her Letters). I know you are a critical observer, and your judgment of people generally plases me. Sometimes you know, I think you too severe, and that you do not make quite so many allowances as Humane Nature requires, but perhaps this may be oweing to my unacquainedness with the World. Your Business Naturly leads you to a nearer inspection of Mankind, and to see the corruptions of the Heart,which [I] believe you often find desperately wicked and deceitful. Me thinks I have abundance to say to you. What is next? O that I should have been  glad to have seen you to Day. Last Fast Day, if you remember, we spent together, and why might we not this? Why I can tell you, we might, if we had been together, have been led into temptation. I dont mean to commit any Evil, unless setting up  late, and thereby injuring our Health, may be called so. To that I could have submitted without much remorse of Conscience, that would have had but little weight with me, had you not bid me adieu, the last time I saw you. The reflexion of what I that forenoon endured, has been ever since sufficient to deter me from wishing to see you again, till you can come and go, as you formerly used to. Betsy sends her Love to you, says she  to have kissed you before you went away, but you made no advances, and she never haveing been guilty of such an action, knew not how to attempt it. Know you of any figure in the Mathematicks whereby you can convey one to her? Inclining lines that meet in the same center, will not that figure come as nigh as any? What think you of the weather. We have had a very  afternoon, tho the forenoon threatned a Storm. I am in great hopes that Sol will not refuse his benign influence tomorrow.   you leave  Braintree. My best wishes attend you. With Marcia I say   Thus for  prays his  A Smith  PS Let me hear from you soon as possible, and as often. By sending your Letters to the Doctor believe you may get conveyance often. I rejoice to hear you feel so comfortable. Still be careful, good folks are scarce. has just been up, and asks to whom I am writing. I answerd not very readily. Upon my hesitating-Send my Love say'd she to Mr. Adams, tell him he has my good wishes for his Safty. A good Night to you-my fire is out. Pray be so kind (as to deliver) or send if they dont visit you, these Letters as directed. What a Beautiful morning it is, I almost wish I was going with you.-Here  send the Books, papa prays  [you] would be careful of them. I send you some tobacco to smoke your Letters over, tho I dont imagine you will use it all that way. -- A pleasent ride to you.  Breakfast calls your "
"Sunday Noon Weymouth  April th 15 1764.
","Sir Mr. Cranch informs me that Hones will go to Town tomorrow, and that I may not miss one opportunity, have now taken my pen to thank you for yours by Tom, and also for that which I have just now received by Mr. Ayres. You seem in high Spirits at which you know I rejoice. Your minute description of the persons you have seen, are very entertaining to me. I cannot consent you should omit writing, unless you find it prejudicial to your Health, if so I have not a word more to say. But, if amusement is all they require, why is not one amusement as good as , it may be those who forbid you cannot conceive that writing to a Lady is any amusement, perhaps they rank it under the Head of drudgery, and hard Labour. However all I insist upon is that you follow that amusement which is most  to you whether it be Cards, Chequers, Musick, Writing, or Romping. May not I hear from you by Hones? I shall take all possible care that the Letters I receive be well smoked before I venture upon them, enclose the Letters in a cover, but seal only the , Tom makes bungling work opening them, and tares them sadly. As to any other of the familys being endangerd by them, there is no fear of that, they  are very good, and let me enjoy my Letters to myself unless I vouchsafe they should see them. So Miser like I hoard them up, and am not very communicative. Your Mamma doubtless would rejoice to hear from you, if you write you may enclose to me, I will take good care of it, if you want any thing I can serve you in, let me know, have you milk ? You have a large number, who I suppose live upon it, write me if it would be agreable to You to have some. Tis meeting time, the Bell rings. Adieue, my Friend -- My add what else you please. And always believe me What I really am Your own My Love to Myra. We all desire to be  to you. Your Daughter Betsy is a charming Girl, and Lisps her Love to her papa. My Regards to whom, and whenever you please to bestow them -- to your Brother in perticuliar. Once more adieue.  "
"Weymouth  April th 16 1764
","My Friend I think I write to you every Day. Shall not I make my Letters very ; don't you light your pipe with them? I care not if you do, tis a pleasure to me to write, yet I wonder I write to you with so little restraint, for as a critick I fear you more than any other person on Earth, and tis the only character, in which I ever did, or ever will fear you. What say you? Do you approve of that Speach? Dont you think me a Courageous Being? Courage is a laudable, a Glorious Virtue in your Sex, why not in mine? (For my part, I think you ought to applaud me for mine.) -- Exit Rattle. And now pray tell me how you do, do you feel any venom working in your veins, did you ever before experience such a feeling? -- This Letter will be made up with questions I fancy-not set in order before you neither. -- How do you employ yourself? Do you go abroad yet? Is it not cruel to bestow those  upon others which I should rejoice to receive, yet must be deprived of? I have lately been thinking whether my Mamma -- when I write again I will tell you Something. Did not you receive a Letter  by Hones? This is a right Girls Letter, but I will turn to the other side and be sober, if I can -- but what is bred in the bone will never be out of the flesh, (as Lord M would have said). As I have a good opportunity to send some Milk, I have not waited for your orders; least if I should miss this, I should not catch such . If you want more balm, I can supply you. Adieu, evermore remember me with the tenderest affection, which is also borne unto you by Your --  "
"Thursday Eve. --Weymouth  April th 19 1764
","Why my good Man, thou hast the curiosity of a Girl. Who could have believed that only a slight hint would have set thy imagination a gig in such a manner. And a fine encouragement I have to unravel the  as thou callest it. Nothing less truly than to be told Something to my disadvantage. What an excellent reward that will be? In what Court of justice did'st thou learn that equity? I thank thee Friend such knowledg as that is easy eno' to be obtained without paying for it. As to the insinuation, it doth not give me any uneasiness, for if it is any thing very bad, I know thou dost not believe it. I am not conscious of any harm that I have done, or wished to any Mortal. I bear no Malice to any Being. To my Enimies, (if any I have) I  am  willing to afford assistance; therefore towards Man, I maintain a Conscience void of offence. Yet by this I mean not that I am faultless, but tell me what is the Reason that persons had rather  themselves guilty, than be accused by others. Is it because they are more tender of themselves, or because they meet with more favor from others, when they ingenuously confess. Let that be as it will there is something which makes it more agreeable to condemn ourselves than to be condemned by others. But  it is vastly disagreeable to be accused of faults, yet no person ought to be offended when such accusations are deliverd in the Spirit of  Friendship. -- I now call upon you to fullfill your promise, and tell me all my faults, both of omission and commission, and all the Evil you either know, or think of me, be to me a second conscience, nor put me off to a more convenient Season. There can be no time more proper than the present, it will be harder to erase them when habit has strengthned and confirmd them. Do not think I . These are really meant as words of Truth and Soberness -- for the present good Night. What does it signify, why may not I visit you a Days as well as Nights? I no sooner close my Eyes than some invisible Being, swift as the Alborack of Mahomet, bears me to you. I see you, but cannot make  visible to you. That tortures me, but it is still worse when I do not come for I am then haunted by half a dozen ugly Sprights. One will catch me and leep into the Sea, an other will carry me up a precipice (like that which Edgar describes to Lear,) then toss me down, and were I not then light as the  [illegible]   Gosemore I should shiver into atoms -- an other will be pouring down my throat stuff worse than the witches Broth in Macbeth. -- Where I shall be carried next I know not, but I had rather have the small pox by inoculation half a dozen times, than be sprighted about as I am. What say you can you give me any encouragement to come? By the time you receive this hope from experience you will be able to say that the distemper is but a triffle. Think you I would not  endure a trife for the pleasure of seeing Lysander, yes were it ten times that triffle I would. -- But my own inclinations must not be followed -- to Duty I sacrifice them. Yet O my Mamma forgive me if I say, you have forgot, or never knew -- but hush. -- And do you Lysander excuse me that something I promis'd you, since it was a Speach more undutifull than that which I Just now stop'd my self in -- for the present good by.  Evening I hope you smoke your Letters well, before you deliver them. Mamma is so fearful least I should catch the distemper, that she hardly ever thinks the Letters are  purified. Did you never rob a Birds nest? Do you remember how the poor Bird would fly round and round, fearful to come nigh, yet not know how to leave the place -- just so they say I hover round Tom whilst he is smokeing my Letters. But heigh day Mr. whats your Name? -- who taught you to threaten so vehemently ""a Character besides that of , in which if I never did, I always hereafter shall fear you."" Thou canst not prove a villan, . I therefore still insist upon it, that I neither do, nor can fear thee. For my part I know not that there is any pleasure in being feard, but if there is, I hope you will be so generous as to fear your Diana that she may at least be made sensible of the pleasure. Mr. Ayers will bring you this Letter, and the Bag. Do no  repine -- it is fill'd with Balm. Here is Love, respects, regards, good wishes -- a whole  load of them sent you from all the good folks in the Neighbourhood.   makes the 14th Day. How many more are to come? I dare not trust my self with the thought. Adieu. Let me hear from you by Mr. Ayers, and excuse this very bad writing, if you had mended my pen it would have been better, once more adieu. Gold and Silver have I none, but such as I have, give I unto thee -- which is the affectionate Regard of Your "
"Weymouth  April 30, 1764 
","Dear  Your Friendly Epistle  me a fryday morning, it came like an Infernal Mesenger, thro fire and Brimstone, Yet it brought me tidings of great joy. With gratitude may this month be ever rememberd by Diana. You have been peculiarly favourd, and may be numberd with those who have had the distemper lightest. What would I give that I was as well thro it. I thank you for your offerd Service, but you know that I am not permitted to enjoy the benifit of it. Yesterday the . returnd to our no small Satisfaction. I think there is but one person upon Earth, the Sight of whom would have more rejoiced me. But ""not Sight alone would please."" It would therefore be adviseable to keep at an unseeable distance till any approach would not endanger. I was yesterday at the Meeting of a Gentleman and his Lady. all shifted now no danger -- and no fear. A how do ye, and a how do ye, was exchanged between them, a Smile, and a good naturd look. Upon my word I believe they were glad to see each other. A tender meeting. I was affected with it. And thought whether Lysander, under like circumstances could thus coldly meet his Diana, and whether Diana could with no more Emotion receive Lysander. What think you. I dare answer for a different meeting on her part were She under no restraint. When may that meeting  be? Hear you have sent for your Horse, the Doctor tells me that you rode out a friday, do not venture abroad too soon, very bad winds for invalids tho I hear you stand it like an oak. -- O by the way you have not told me that insinuation to my disadvantage which you promised me. Now methinks I see you criticizeing -- What upon Earth is the Girl after. Where is the connexion between my standing the distemper like an oak, and an insinuation to her disadvantage? -- Why I did not expect that a short sighted mortal would comprehend it, it was a Complex Idea if I may so express myself. And in my mind there was a great connexion. I will show you how it came about. ""I did expect this purgation of Lysander would have set us on a level and have renderd him a Sociable creature, but Ill Luck, he stands it like an oak, and is as haughty as ever."" Now mentioning one part of this Sentance, brought to mind the accusation of haughtiness, and your faults naturally lead me to think of my own. But here look yee. I have more than insinuations against you. ""An intolerable forbiding expecting Silence, which lays such a restraint upon but moderate Modesty that tis imposible for a Stranger to be tranquil in your presence."" What say you to that charge? Deny it not, for by experience I know it to be true. Yes to this day I feel a greater restraint in your Company, than in that of allmost any other person on Earth, but thought I had reasons by myself to account for it, and 
Page 3
 knew not that others were affected in the same manner till a late complaint was enterd against you. Is there any thing austere in your countanance? Indeed I cannot recollect any thing. Yet when I have been most pained I have throughly studied it, but never could discover one trace of the severe. Must it not then be something in Behaviour, (ask Silvia, (not Arpasia for these are not her complaints) what it is) else why should not I feel as great restraint when I write. But to go on, ""Why did he read Grandison, the very reverse in practice. Sir Charles call'd forth every one's excellencies, but never was a thought born in Lysanders presence."" Unsociable Being, is an other charge. Bid a Lady hold her Tongue when she was tenderly inquireing after your wellfare, why that sounds like want of Breeding. It looks not like Lysander for it wears the face of ingratitude. -- I expect you [to] clear up these matters, without being in the least saucy.  As to the charge of Haughtiness I am certain that is a mistake, for if I know any thing of , he has as little of that in his disposition, as he has of Ill nature. But for Saucyness no Mortal can match him, no not even His Diana N.B. Remember me to  and Myra. Shall I hear from you by Mr. Ayers. If not do not fail writing by the Doctor who will be in Town a . If he brings a letter suppose he will smoke it too, you understand me. "
"Weymouth  May th 4: 1764 
","My --  Your desire that I would write every Opportunity is punctually observed by me, And I comply with your request,  I have nothing more to say than How do ye? and when will you return? These questions perhaps may appear trifling to others, yet to me they are matters of the highest importance. The Doctor just now sent me your Epistle, and word, that  he had smoked it, yet he had not read a line. Very Good! --  I greatly rejoice to find you are so comfortable, as well as the rest of my Friends.  I hear is to return next week, and will not Lysander too? Yet do not, till you can come with the greatest Safety. For should I see thee, ""Were I  e'an in paradice I should leap the crystal walls."" Did not you receive a Letter this week by Mr. Ayers? You make no mention of it,  suppose You had not time, will you be so kind as to write by him tomorrow? For all those pleasureable Sensations, which you were pleas'd to say, a Letter from your Diana gave you, are enjoyed by her when Lysander favours her with an Epistle, and in as much gre greater a degree, as his are more worthy than hers. Yet tho he exceeds her there, he cannot in a tenderer affection than that which is borne him by his  This Letter has been very unlucky  mist two Opportunities. I sent it by 5 oclock yesterday morn to Mr. Ayers, but he went by light. I then sent it to  Germantown, but the Deacon was gone half an hour before it reachd there; I hear of an other tomorrow morning so will can try again. I heard to day that your Brother was expected home last Night, and you tomorrow -- If you come I know it will not be long, You will see your  "
